REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2020,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2021,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2022,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2023,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2024,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2025,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2026,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2027,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2028,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2029,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2030,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2031,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2032,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2033,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2034,2.7609161
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2035,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2036,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2037,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2038,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2039,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2040,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2041,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2042,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2043,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2044,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2045,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2046,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2047,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2048,2.082584
GLOBAL,S1D1,DEMAGRSURPHL,1,AGRWATPHL,2049,2.082584
GLOBAL,S1D1,LNDAGRPHLC01,27,WTREVTPHL,2020,61.7852012
GLOBAL,S1D1,LNDAGRPHLC01,27,WTREVTPHL,2021,61.7852012
GLOBAL,S1D1,LNDAGRPHLC01,27,WTRGRCPHL,2020,1.962588744
GLOBAL,S1D1,LNDAGRPHLC01,27,WTRGRCPHL,2021,1.962588744
GLOBAL,S1D1,LNDAGRPHLC01,27,WTRSURPHL,2020,23.623753400000002
GLOBAL,S1D1,LNDAGRPHLC01,27,WTRSURPHL,2021,23.623753400000002
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2020,24.3988998
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2021,24.760000100000003
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2022,25.121100400000003
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2023,25.4821996
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2024,25.8432999
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2025,26.2291546
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2026,26.6052864
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2027,26.981307100000002
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2028,27.357440000000004
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2029,27.733460700000002
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2030,28.1095936
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2031,28.4573278
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2032,17.624741200000003
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2033,29.152909500000003
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2034,29.500643700000005
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2035,29.8484912
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2036,30.1627766
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2037,30.4771742
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2038,30.791572900000002
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2039,31.1058583
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2040,31.420255900000004
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2041,31.699858300000002
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2042,31.979460700000004
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2043,32.259062
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2044,32.5386644
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2045,32.8182668
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2046,33.0590315
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2047,33.303586800000005
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2048,33.55249920000001
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2049,6.6171237000000005
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2050,1.94787835
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2051,34.050322900000005
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2052,34.050322900000005
GLOBAL,S1D1,LNDAGRPHLC02,3,CRPSGC,2053,34.050322900000005
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2020,22.180818
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2021,22.509091
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2022,22.837364
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2023,23.165636
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2024,23.493909
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2025,23.844686
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2026,24.186624
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2027,24.528461
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2028,24.8704
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2029,25.212237
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2030,25.554176
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2031,25.870298
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2032,16.022492
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2033,26.502645
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2034,26.818767
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2035,27.134992
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2036,27.420706
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2037,27.706522
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2038,27.992339
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2039,28.278053
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2040,28.563869
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2041,28.818053
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2042,29.072237
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2043,29.32642
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2044,29.580604
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2045,29.834788
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2046,30.053665
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2047,30.275988
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2048,30.502272
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2049,6.015567
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2050,1.7707985
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2051,30.954839
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2052,30.954839
GLOBAL,S1D1,LNDAGRPHLC02,3,WTREVTPHL,2053,30.954839
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2020,1.6857421679999998
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2021,1.7106909160000001
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2022,1.735639664
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2023,1.7605883359999999
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2024,1.7855370839999998
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2025,1.8121961359999998
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2026,1.838183424
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2027,1.8641630359999999
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2028,1.8901504
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2029,1.9161300119999998
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2030,1.942117376
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2031,1.9661426479999997
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2032,1.217709392
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2033,2.0142010200000002
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2034,2.038226292
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2035,2.062259392
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2036,2.083973656
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2037,2.105695672
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2038,2.127417764
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2039,2.149132028
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2040,2.170854044
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2041,2.1901720279999997
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2042,2.209490012
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2043,2.22880792
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2044,2.248125904
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2045,2.267443888
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2046,2.28407854
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2047,2.300975088
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2048,2.318172672
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2049,0.45718309199999996
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2050,0.134580686
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2051,2.352567764
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2052,2.352567764
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRGRCPHL,2053,2.352567764
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2020,31.053145199999996
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2021,31.5127274
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2022,31.9723096
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2023,32.4318904
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2024,32.89147259999999
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2025,33.382560399999996
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2026,33.8612736
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2027,34.339845399999994
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2028,34.81856
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2029,35.297131799999995
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2030,35.77584639999999
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2031,36.2184172
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2032,22.431488799999997
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2033,37.103702999999996
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2034,37.5462738
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2035,37.9889888
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2036,38.388988399999995
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2037,38.789130799999995
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2038,39.1892746
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2039,39.5892742
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2040,39.9894166
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2041,40.3452742
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2042,40.7011318
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2043,41.056988
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2044,41.4128456
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2045,41.7687032
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2046,42.075131
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2047,42.3863832
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2048,42.7031808
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2049,8.4217938
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2050,2.4791179
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2051,43.3367746
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2052,43.3367746
GLOBAL,S1D1,LNDAGRPHLC02,3,WTRSURPHL,2053,43.3367746
GLOBAL,S1D1,LNDAGRPHLC02,24,CRPOTH,2021,3.018097678
GLOBAL,S1D1,LNDAGRPHLC02,24,CRPOTH,2022,2.140783263
GLOBAL,S1D1,LNDAGRPHLC02,24,CRPOTH,2024,0.3861544062
GLOBAL,S1D1,LNDAGRPHLC02,24,WTREVTPHL,2021,3.60369872
GLOBAL,S1D1,LNDAGRPHLC02,24,WTREVTPHL,2022,2.5561591200000002
GLOBAL,S1D1,LNDAGRPHLC02,24,WTREVTPHL,2024,0.461079888
GLOBAL,S1D1,LNDAGRPHLC02,24,WTRGRCPHL,2021,0.39190223579999994
GLOBAL,S1D1,LNDAGRPHLC02,24,WTRGRCPHL,2022,0.2779823043
GLOBAL,S1D1,LNDAGRPHLC02,24,WTRGRCPHL,2024,0.050142437819999996
GLOBAL,S1D1,LNDAGRPHLC02,24,WTRSURPHL,2021,7.20739744
GLOBAL,S1D1,LNDAGRPHLC02,24,WTRSURPHL,2022,5.1123182400000005
GLOBAL,S1D1,LNDAGRPHLC02,24,WTRSURPHL,2024,0.922159776
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2020,7.6801077
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2021,8.54668305
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2022,9.4128597
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2023,10.2794328
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2024,11.14600815
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2027,13.62009735
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2029,15.22801215
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2035,16.94522835
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2036,17.111619
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2037,17.27800965
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2038,17.444500650000002
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2039,17.610891300000002
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2040,17.777281950000003
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2041,17.925363
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2042,18.0733437
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2043,18.221424300000002
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2044,18.369405
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2045,18.5174856
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2046,18.6449553
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2047,18.772425000000002
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2048,18.89989425
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2049,19.02736395
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2050,19.154833200000002
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2051,19.154833200000002
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2052,19.154833200000002
GLOBAL,S1D1,LNDAGRPHLC03,8,CRPCON,2053,19.154833200000002
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2020,14.165531979999999
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2021,15.76388207
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2022,17.36149678
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2023,18.95984272
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2024,20.558192809999998
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2027,25.121512889999998
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2029,28.08722241
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2035,31.25453229
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2036,31.5614306
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2037,31.868328910000002
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2038,32.17541231
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2039,32.48231062
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2040,32.78920893
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2041,33.0623362
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2042,33.33527838
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2043,33.608404820000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2044,33.881347
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2045,34.15447344
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2046,34.389584219999996
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2047,34.624695
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2048,34.85980495
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2049,35.09491573
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2050,35.33002568
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2051,35.33002568
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2052,35.33002568
GLOBAL,S1D1,LNDAGRPHLC03,8,WTREVTPHL,2053,35.33002568
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2020,1.19468342
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2021,1.3294840300000001
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2022,1.4642226200000001
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2023,1.5990228800000001
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2024,1.73382349
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2027,2.11868181
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2029,2.3688018900000003
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2035,2.6359244100000003
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2036,2.6618074000000003
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2037,2.6876903900000007
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2038,2.7135889900000003
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2039,2.7394719800000003
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2040,2.76535497
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2041,2.7883898
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2042,2.81140902
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2043,2.8344437800000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2044,2.8574630000000005
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2045,2.8804977600000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2046,2.90032638
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2047,2.9201550000000007
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2048,2.93998355
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2049,2.95981217
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2050,2.9796407200000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2051,2.9796407200000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2052,2.9796407200000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRGRCPHL,2053,2.9796407200000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2020,22.1869778
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2021,24.6904177
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2022,27.192705800000002
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2023,29.6961392
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2024,32.1995791
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2027,39.3469479
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2029,43.9920351
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2035,48.95288190000001
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2036,49.433566000000006
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2037,49.914250100000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2038,50.3952241
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2039,50.875908200000005
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2040,51.3565923
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2041,51.784382
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2042,52.2118818
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2043,52.639670200000005
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2044,53.067170000000004
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2045,53.4949584
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2046,53.8632042
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2047,54.23145000000001
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2048,54.5996945
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2049,54.9679403
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2050,55.336184800000005
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2051,55.336184800000005
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2052,55.336184800000005
GLOBAL,S1D1,LNDAGRPHLC03,8,WTRSURPHL,2053,55.336184800000005
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2022,13.1317952
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2023,13.4209112
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2024,13.710128000000001
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2025,13.9992448
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2026,14.2676
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2027,12.322615200000001
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2028,14.8082416
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2029,15.0806264
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2030,15.352911200000001
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2031,15.6048416
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2032,15.856671200000001
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2033,16.108500799999998
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2034,16.360330400000002
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2035,18.2059656
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2036,18.4301712
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2037,18.654476
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2038,18.8787808
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2039,19.1030856
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2040,19.327290400000003
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2041,19.5267856
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2042,19.726280000000003
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2043,19.928772000000002
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2044,20.131263200000003
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2045,20.333754400000004
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2046,20.5080832
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2047,20.685885600000002
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2048,20.867472000000003
GLOBAL,S1D1,LNDAGRPHLC03,11,CRPRCP,2049,21.049059200000002
