REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2020,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2021,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2022,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2023,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2024,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2025,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2026,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2027,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2028,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2029,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2030,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2031,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2032,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2033,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2034,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2035,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2036,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2037,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2038,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2039,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2040,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2041,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2042,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2043,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2044,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2045,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2046,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2047,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2048,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2049,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2050,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2051,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2052,2.56
GLOBAL,PWRCCGPHLXX00,GASPHL,1,2053,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2020,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2021,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2022,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2023,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2024,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2025,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2026,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2027,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2028,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2029,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2030,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2031,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2032,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2033,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2034,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2035,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2036,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2037,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2038,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2039,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2040,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2041,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2042,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2043,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2044,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2045,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2046,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2047,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2048,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2049,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2050,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2051,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2052,2.56
GLOBAL,PWRCCGPHLXX00,GASINT,2,2053,2.56
GLOBAL,PWROCGPHLXX00,GASPHL,1,2020,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2021,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2022,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2023,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2024,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2025,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2026,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2027,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2028,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2029,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2030,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2031,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2032,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2033,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2034,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2035,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2036,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2037,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2038,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2039,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2040,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2041,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2042,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2043,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2044,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2045,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2046,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2047,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2048,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2049,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2050,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2051,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2052,2.78
GLOBAL,PWROCGPHLXX00,GASPHL,1,2053,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2020,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2021,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2022,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2023,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2024,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2025,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2026,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2027,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2028,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2029,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2030,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2031,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2032,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2033,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2034,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2035,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2036,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2037,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2038,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2039,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2040,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2041,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2042,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2043,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2044,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2045,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2046,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2047,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2048,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2049,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2050,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2051,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2052,2.78
GLOBAL,PWROCGPHLXX00,GASINT,2,2053,2.78
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2020,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2021,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2022,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2023,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2024,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2025,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2026,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2027,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2028,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2029,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2030,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2031,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2032,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2033,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2034,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2035,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2036,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2037,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2038,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2039,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2040,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2041,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2042,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2043,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2044,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2045,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2046,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2047,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2048,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2049,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2050,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2051,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2052,1.0
GLOBAL,PWRHYDPHLXX01,HYDPHLXX,1,2053,1.0
GLOBAL,PWROILPHLXX01,OILPHL,1,2020,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2021,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2022,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2023,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2024,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2025,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2026,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2027,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2028,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2029,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2030,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2031,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2032,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2033,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2034,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2035,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2036,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2037,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2038,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2039,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2040,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2041,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2042,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2043,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2044,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2045,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2046,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2047,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2048,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2049,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2050,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2051,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2052,2.96
GLOBAL,PWROILPHLXX01,OILPHL,1,2053,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2020,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2021,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2022,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2023,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2024,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2025,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2026,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2027,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2028,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2029,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2030,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2031,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2032,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2033,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2034,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2035,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2036,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2037,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2038,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2039,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2040,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2041,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2042,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2043,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2044,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2045,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2046,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2047,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2048,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2049,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2050,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2051,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2052,2.96
GLOBAL,PWROILPHLXX01,OILINT,2,2053,2.96
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2020,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2021,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2022,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2023,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2024,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2025,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2026,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2027,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2028,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2029,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2030,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2031,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2032,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2033,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2034,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2035,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2036,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2037,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2038,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2039,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2040,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2041,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2042,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2043,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2044,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2045,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2046,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2047,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2048,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2049,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2050,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2051,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2052,1.0
GLOBAL,PWRSPVPHLXX01,SPVPHLXX,1,2053,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2020,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2021,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2022,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2023,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2024,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2025,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2026,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2027,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2028,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2029,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2030,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2031,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2032,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2033,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2034,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2035,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2036,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2037,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2038,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2039,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2040,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2041,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2042,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2043,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2044,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2045,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2046,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2047,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2048,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2049,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2050,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2051,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2052,1.0
GLOBAL,PWROTHPHLXX01,OTHPHL,1,2053,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2020,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2021,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2022,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2023,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2024,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2025,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2026,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2027,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2028,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2029,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2030,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2031,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2032,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2033,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2034,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2035,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2036,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2037,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2038,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2039,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2040,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2041,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2042,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2043,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2044,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2045,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2046,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2047,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2048,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2049,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2050,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2051,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2052,1.0
GLOBAL,PWROTHPHLXX01,OTHINT,2,2053,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2020,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2021,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2022,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2023,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2024,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2025,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2026,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2027,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2028,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2029,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2030,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2031,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2032,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2033,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2034,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2035,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2036,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2037,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2038,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2039,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2040,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2041,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2042,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2043,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2044,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2045,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2046,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2047,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2048,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2049,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2050,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2051,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2052,1.0
GLOBAL,PWRCSPPHLXX01,CSPPHLXX,1,2053,1.0
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2020,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2021,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2022,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2023,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2024,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2025,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2026,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2027,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2028,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2029,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2030,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2031,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2032,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2033,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2034,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2035,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2036,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2037,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2038,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2039,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2040,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2041,3.37
GLOBAL,PWRBIOPHLXX01,BIOPHLXX,1,2042,3.37
