cache_filename,model_crop_code,gaez_crop,model_variable,gaez_name,input_level,water_supply,available_water_content,climate_model,pathway,time_period,source_unit,download_url,file_identifier,selection_table,selection_table_csv_line
BAN yld Rain-fed High.tif,BAN,Banana,yld,bana200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/bana200b_yld.tif,327654,GAEZ_yld_High_Input.csv,313
BAN yld Rain-fed Low.tif,BAN,Banana,yld,bana200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/bana200b_yld.tif,280422,GAEZ_yld_Low_Input.csv,5
CAS cwd Irrigation High.tif,CAS,Cassava,cwd,casv200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/casv200a_wde.tif,326962,GAEZ_cwd_High_Input.csv,332
CAS cwd Irrigation Low.tif,CAS,Cassava,cwd,casv200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/casv200a_wde.tif,279730,GAEZ_cwd_Low_Input.csv,24
CAS cwd Rain-fed High.tif,CAS,Cassava,cwd,casv200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/casv200b_wde.tif,325753,GAEZ_cwd_High_Input.csv,333
CAS cwd Rain-fed Low.tif,CAS,Cassava,cwd,casv200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/casv200b_wde.tif,278521,GAEZ_cwd_Low_Input.csv,25
CAS evt Irrigation High.tif,CAS,Cassava,evt,casv200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/casv200a_eta.tif,326295,GAEZ_evt_High_Input.csv,332
CAS evt Irrigation Low.tif,CAS,Cassava,evt,casv200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/casv200a_eta.tif,279063,GAEZ_evt_Low_Input.csv,24
CAS evt Rain-fed High.tif,CAS,Cassava,evt,casv200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/casv200b_eta.tif,325493,GAEZ_evt_High_Input.csv,333
CAS evt Rain-fed Low.tif,CAS,Cassava,evt,casv200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/casv200b_eta.tif,278261,GAEZ_evt_Low_Input.csv,25
