REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
GLOBAL,PWRWONPHLXX01,S1D1,2035,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2036,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2037,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2038,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2039,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2040,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2041,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2042,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2043,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2044,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2045,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2046,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2047,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2048,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2049,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2050,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2051,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2052,0.1925
GLOBAL,PWRWONPHLXX01,S1D1,2053,0.1925
GLOBAL,PWRWONPHLXX01,S1D2,2020,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2021,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2022,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2023,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2024,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2025,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2026,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2027,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2028,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2029,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2030,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2031,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2032,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2033,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2034,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2035,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2036,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2037,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2038,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2039,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2040,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2041,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2042,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2043,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2044,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2045,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2046,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2047,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2048,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2049,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2050,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2051,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2052,0.1779
GLOBAL,PWRWONPHLXX01,S1D2,2053,0.1779
GLOBAL,PWRWONPHLXX01,S2D1,2020,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2021,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2022,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2023,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2024,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2025,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2026,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2027,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2028,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2029,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2030,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2031,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2032,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2033,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2034,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2035,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2036,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2037,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2038,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2039,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2040,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2041,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2042,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2043,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2044,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2045,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2046,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2047,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2048,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2049,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2050,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2051,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2052,0.2189
GLOBAL,PWRWONPHLXX01,S2D1,2053,0.2189
GLOBAL,PWRWONPHLXX01,S2D2,2020,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2021,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2022,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2023,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2024,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2025,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2026,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2027,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2028,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2029,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2030,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2031,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2032,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2033,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2034,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2035,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2036,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2037,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2038,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2039,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2040,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2041,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2042,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2043,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2044,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2045,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2046,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2047,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2048,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2049,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2050,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2051,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2052,0.2114
GLOBAL,PWRWONPHLXX01,S2D2,2053,0.2114
GLOBAL,PWRWOFPHLXX01,S1D1,2020,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2021,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2022,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2023,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2024,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2025,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2026,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2027,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2028,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2029,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2030,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2031,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2032,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2033,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2034,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2035,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2036,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2037,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2038,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2039,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2040,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2041,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2042,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2043,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2044,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2045,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2046,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2047,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2048,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2049,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2050,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2051,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2052,0.1406
GLOBAL,PWRWOFPHLXX01,S1D1,2053,0.1406
GLOBAL,PWRWOFPHLXX01,S1D2,2020,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2021,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2022,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2023,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2024,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2025,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2026,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2027,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2028,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2029,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2030,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2031,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2032,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2033,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2034,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2035,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2036,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2037,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2038,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2039,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2040,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2041,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2042,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2043,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2044,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2045,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2046,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2047,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2048,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2049,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2050,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2051,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2052,0.1351
GLOBAL,PWRWOFPHLXX01,S1D2,2053,0.1351
GLOBAL,PWRWOFPHLXX01,S2D1,2020,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2021,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2022,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2023,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2024,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2025,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2026,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2027,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2028,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2029,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2030,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2031,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2032,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2033,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2034,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2035,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2036,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2037,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2038,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2039,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2040,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2041,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2042,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2043,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2044,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2045,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2046,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2047,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2048,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2049,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2050,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2051,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2052,0.1823
GLOBAL,PWRWOFPHLXX01,S2D1,2053,0.1823
GLOBAL,PWRWOFPHLXX01,S2D2,2020,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2021,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2022,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2023,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2024,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2025,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2026,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2027,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2028,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2029,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2030,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2031,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2032,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2033,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2034,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2035,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2036,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2037,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2038,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2039,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2040,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2041,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2042,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2043,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2044,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2045,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2046,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2047,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2048,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2049,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2050,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2051,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2052,0.1811
GLOBAL,PWRWOFPHLXX01,S2D2,2053,0.1811
